kldb_title_de,kldb_title_en_proxy,kldb_5_code
Kunstporzellanmaler/in,Art porcelain painter,93422
Kunstreiter/in,Artistic rider,94283
Kunstrestaurator/in,Art restorer,93303
Kunstsachverstndige/r,Art expert,94724
Kunstschtzer/in,Art treasurer,94724
Kunstschlosser/in,Art locksmith,93512
Kunstschmied/in,Blacksmith,93512
Kunstschnitzer/in,Art carver,93312
Kunstschreiner/in,Art carpenter,22342
Kunststeinbildhauer/in,Artificial stone sculptor,93312
Kunststeinleger/in,Artificial stonelayer,33112
Kunststeinschleifer/in,Artificial stone grinder,21212
Kunststicker/in,Art embroiderer,28112
Kunststoff- u. Schwergewebekonfektionr/in,Plastic and heavy fabric assembly worker,28232
Kunststoff- und Kautschuktechniker/in,Plastics and rubber technician,22103
Kunststoff-/Kautschuktechnologe/-technologin - Bauteile,Plastics/rubber technologist - components,22102
Kunststoff-/Kautschuktechnologe/-technologin - Comp./Master.,Plastics/Rubber Technologist - Comp./Master.,22102
Kunststoff-/Kautschuktechnologe/-technologin - Faserverbund.,Plastics/rubber technologist - fiber composite.,22102
Kunststoff-/Kautschuktechnologe/-technologin - Formteile,Plastic/rubber technologist - molded parts,22102
Kunststoff-/Kautschuktechnologe/-technologin - Halbzeuge,Plastics/rubber technologist - semi-finished products,22102
Kunststoff-/Kautschuktechnologe/-technologin - Kunstst.fens.,Plastics/rubber technologist - Kunstst.fens.,22102
Kunststoff-/Kautschuktechnologe/-technologin - Mehrschichtk.,Plastics/rubber technologist - multi-layer.,22102
Kunststoffauskleider/in,Plastic liner,22102
Kunststoffbeschichter/in,Plastic coater,22102
Kunststoffbootsbauer/in,Plastic boat builder,33322
Kunststoffdreher/in,Plastic turner,22102
Kunststoff-Facharbeiter/in,Plastics skilled worker,22102
Kunststofffachberater/in,Plastics consultant,62262
Kunststoff-Formgeber/in,Plastic molder,22102
Kunststoff-Formgebermeister/in,Plastic molding master,22193
Kunststoffingenieur/in,Plastics engineer,22104
Kunststoffkonfektionr/in,Plastic assembly worker,28232
Kunststofflackierer/in,Plastic painter,22202
Kunststoffmaschinenbediener/in,Plastics machine operator,22102
Kunststoffmaschineneinrichter/in,Plastics machine setter,22102
Kunststoffmodellbauer/in,Plastic model maker,27232
Kunststoffpresser/in,Plastic presser,22102
Kunststoff-Qualittsprfer/in (Kunststoff-Formgebung),Plastic quality inspector (plastic molding),22102
Kunststoffschlauchmacher/in,Plastic tube maker,22182
Kunststoffschlosser/in,Plastic fitter,22102
Kunststoffschweiáer/in,Plastic welder,22102
Kunststoffspritzer/in,Plastic sprayer,22102
Kunststoffstereotypeur/in,Plastic stereotyper,23212
Kunststofftechniker/-technikerin - alle Fachrichtungen,Plastics technician - all disciplines,22103
Kunststofftechnologe/-technologin,Plastics technologist,22102
Kunststofftiefzieher/in,Plastic thermoformer,22102
Kunststoffverarbeiter/in,Plastics processor,22102
Kunststoffverarbeitungshelfer/in,Plastic processing assistant,22101
Kunststoffverarbeitungstechniker/in,Plastics processing technician,22103
Kunststoffverformer/in,Plastic molder,22102
Kunststoffwarenmacher/in,Plastic goods maker,22102
Kunststoffwerker/in (Kunststoffhersteller),Plastics worker (plastics manufacturer),22102
Kunststopfer/in,Art tamper,28122
Kunsttherapeut/in,Art therapist,81743
Kunsttischler/in,Cabinetmaker,22342
Kunsttpfer/in,Art potter,93412
Kunstverglaser/in,Art glazier,21342
Kunstverleger/in,Art publisher,92394
Kunstwissenschaftler/in,Art scholar,94704
Kunstzeichner/in,Artist,93323
Kper/in,Body,51332
Kpermeister/in (Bttcherhandwerk),Master craftsman (cooper craft),22393
Kupferhammerschmied/in,Copper hammersmith,24412
Kupferklempner/in,Copper plumber,34202
Kupferschmied/in,Coppersmith,34342
Kupferschmiedehelfer/in,Coppersmith assistant,34201
Kupferschmiedemeister/in,Master coppersmith,34393
Kurator/in,Curator,94704
Kurbelwellendreher/in,Crankshaft driver,24232
Kurdirektor/in,Spa director,63194
Kurhausbesitzer/in,Spa house owner,63294
Kurierdienstfahrer/in,Courier service driver,52182
Kurierfahrer/in,Courier driver,52182
Kursberater/in,Course advisor,72124
Krschner/in,Krschner/in,28342
Krschnermeister/in/B. Prof. Krschner-Handwerk,Master shearer/in/B. Prof. Krschner-Handwerk,28393
Kursleiter/in - Atemtherapie,Course leader - respiratory therapy,84484
Kursleiter/in - Gemeindekrankenpflege,Course leader - community nursing,84483
Kursportlehrer/in,Course sports teacher,84583
Kurssportlehrer/in,Course sports teacher,84503
Kurzschriftlehrer/in,Shorthand teacher,84213
Kstenfischer/in (Matrose/Matrosin),Coastal fisherman (sailor),11422
Kstenfischermeister/in,Master coastal fisherman,11493
Kstenschiffer/in,Coastal skipper,52413
Kstenschutzarbeiter/in,Coastal protection worker,32262
Kster/in,Minister,83382
Kutschenmacher/in,Carriage maker,22382
Kutscher/in,Coachman,11342
Kutterfischer/in (Krabbenfischerei),Cutter fisherman (crab fishery),11422
Kuvertmaschinenarbeiter/in,Envelope machine worker,23101
Kuvertstanzer/in,Envelope puncher,23101
Kybernetiker/in,Cyberneticist,26384
Kybernetikingenieur/in,Cybernetics engineer,26384
Kynopdagoge/-pdagogin,Kynopteacher/educator,11582
Laborant/in - Analytik,Laboratory assistant - analytics,41322
Laborant/in - Apotheke,Laboratory technician - pharmacy,81822
Laborant/in - Baustoffprfung,Laboratory assistant - building materials testing,41432
Laborant/in - Chemie,Laboratory assistant - chemistry,41322
Laborant/in - Eisenmetallurgie,Laboratory assistant - ferrous metallurgy,41322
Laborant/in - Farben und Lacke,Laboratory assistant - paints and varnishes,22222
Laborant/in - Geologie und Mineralogie,Laboratory assistant - geology and mineralogy,42112
Laborant/in - Glas und Keramik,Laboratory assistant - glass and ceramics,41322
Laborant/in - Lebensmittel,Laboratory technician - food,41322
Laborant/in - Nichteisenmetallurgie,Laboratory technician - non-ferrous metallurgy,41322
Laborant/in - pharmazeutisches Labor,Laboratory assistant - pharmaceutical laboratory,81822
Laborant/in - Physik,Laboratory assistant - physics,41412
Laborant/in - Synthese,Laboratory assistant - synthesis,41322
Laborant/in - Textil,Laboratory assistant - textiles,41322
Laborarzt/-rztin,Laboratory doctor,81214
Laborassistent/in - Biologie,Laboratory assistant - biology,41212
Laborassistent/in - Chemie,Laboratory assistant - chemistry,41322
Laborassistent/in - Pharmalabor,Laboratory assistant - pharmaceutical laboratory,81822
Laborassistent/in - Physik,Laboratory assistant - physics,41412
Laborassistent/in - Werkstoffprfung,Laboratory assistant - materials testing,41422
Laboratoriumsingenieur/in (Chemie),Laboratory engineer (chemistry),41324
Laboratoriumsmediziner/in,Laboratory medicine specialist,81214
Laborbcker/in,Laboratory baker,29222
Laborelektromechaniker/in,Laboratory electromechanic,26382
"Laborfachkraft (Papier-, Zellstoffindustrie)","Laboratory specialist (paper, pulp industry)",23112
Laborgerteelektromechaniker/in,Laboratory equipment electromechanic,26382
Laborgerteelektroniker/in,Laboratory equipment electronics technician,26382
Laborhelfer/in - Chemie,Laboratory assistant - chemistry,41311
Laboringenieur/in (Chemie),Laboratory engineer (chemistry),41324
Laboringenieur/in (FS),Laboratory engineer (FS),82503
Laborleiter/in,Laboratory manager,41294
Laborleiter/in - Biologie,Laboratory Manager - Biology,41294
Laborleiter/in - Chemieindustrie,Laboratory manager - chemical industry,41394
Laborleiter/in - Keramik,Laboratory Manager - Ceramics,21493
Laborleiter/in - Medizinisch-technisches Labor,Laboratory manager - medical-technical laboratory,81294
Laborleiter/in - Metallographie,Laboratory Manager - Metallography,41494
Laborleiter/in - Milchwirtschaft,Laboratory manager - dairy farming,41294
Laborleiter/in - Otoplastik,Laboratory Manager - Otoplasty,82594
Laborleiter/in - Physikalisches Labor,Laboratory Manager - Physical Laboratory,41494
Laborleiter/in - Werkstoffprfung (Metalltechnik),Laboratory manager - materials testing (metal technology),41494
Laborleiter/in - Werkstofftechnik,Laboratory Manager - Materials Engineering,41494
Laborleiter/in - Zahnlabor,Laboratory Manager - Dental Laboratory,82594
Laborleiter/in/Chemiker/in (Uni),Laboratory manager/chemist (university),41394
Labormeister/in,Laboratory master,41393
Labormeister/in - Milchindustrie,Laboratory master - dairy industry,41293
Labortechniker/in - Biologie,Laboratory technician - biology,41213
Labortechniker/in - Chemie,Laboratory technician - chemistry,41323
Labortechniker/in - umweltschutztechnische Messungen,Laboratory technician - environmental measurements,42203
Labortierpfleger/in,Laboratory animal keeper,11582
Lack- und Farbtechniker/in - Betriebstechnik,Paint and color technician - industrial technology,22203
Lackfachberater/in,Paint consultant,62262
Lackierer/in - Holz und Metall,Painter - wood and metal,22202
Lackierer/in - Metall,Painter - metal,22202
Lackierer/in - Spritzlackierung,Painter - spray painting,22202
Lackierer/in - Tauchlackierung,Painter - dip painting,22202
Lackiererhelfer/in,Painter assistant,33211
Lackierermeister/in,Master painter,33293
Lackiermaschinenfhrer/in,Painting machine operator,22202
Lacklaborant/in,Paint laboratory technician,22222
Ladeaufseher/in,Load supervisor,51393
Ladebetriebsleiter/in,Charging operations manager,51393
Ladekranfhrer/in,Loader crane driver,52532
Lademeister/in,Loadmaster,51393
Lademeister/in (Hafen),Loadmaster (port),51393
Ladenbauer/in,Shop fitter,22342
Ladenbautechniker/in,Shopfitting technician,22343
Ladendetektiv/in,Shop detective,53152
Ladenfleischer/in,Shop butcher,29232
Ladenkassierer/in,Shop cashier,62112
Ladenklempner/in,Shop plumber,34202
Lader/in (Schiffsgut),Loader (shipping goods),51332
Lader/in (Transport),Loader (transport),51312
Laderaupenfhrer/in,Crawler loader driver,52522
Laderfhrer/in,Loader driver,52522
Ladungsmakler/in,Cargo broker,51653
Lagenbildleger/in,Layer designer,28221
Lagenleger/in (Bekleidungsindustrie),Layer layerer (clothing industry),28221
Lager- und Transportarbeiter/in,Warehouse and transport worker,51311
Lagerarbeiter/in,Warehouse worker,51311
Lagerdisponent/in,Warehouse dispatcher,51312
Lagerfacharbeiter/in,Warehouse worker,51312
Lagerfachhelfer/in (õ66 BBiG/õ42m HWO),Warehouse assistant (õ66 BBiG/õ42m HWO),51312
Lagerfachkraft,Warehouse specialist,51312
Lagerhalter/in,Warehouse keeper,51312
Lagerhalter/in - Schiff,Warehouse keeper - ship,51193
Lagerhelfer/in,Warehouse assistant,51311
Lagerist/in,Warehouse clerk,51312
Lagerleiter/in (Warenlager),Warehouse manager (warehouse),51393
Lagermeister/in,Warehouse master,51393
Lagersteiger/in,Warehouse climber,21113
Lagerverwalterhelfer/in,Warehouse manager assistant,51311
Lagerwirtschaftsmeister/in,Warehouse management master,51393
Laktationsberater/in,Lactation consultant,81352
Lamellenschichter/in,Lamella layerer,26301
Laminierer/in (Kunststoffverarbeitung),Laminator (plastics processing),22102
Lampenreiniger/in,Lamp cleaner,54101
Lampenwrter/in (Leuchtfeuerwrter/in),Lamp keeper (beacon keeper),51242
Land- und Baumaschinenmechaniker/in,Agricultural and construction machinery mechanic,25222
Land- und Baumaschinenmechatroniker/in,Agricultural and construction machinery mechatronics engineer,25222
Land-/Baumasch.mechatronikermeister/in/B. Prof. Land/Bau.Hw.,Land/Baumasch.mechatronics technician/in/B. Prof. Land/Bau.Hw.,25293
Landarbeiter/in,Agricultural worker,11101
Landarbeitsaufseher/in,Agricultural labor supervisor,11193
Landbcker/in,Country baker,29222
Landbauberater/in,Agricultural consultant,11103
Landbauingenieur/in,Agricultural engineer,11114
Landbautechniker/in,Agricultural technician,11113
Landbauwirtschafter/in,Agricultural economist,11193
Lnderreferent/in (Auáenwirtschaft),Country representative (foreign economic affairs),61213
Lnderreferent/in (Bank),Country Officer (Bank),72113
Landesbischof/-bischfin,Regional bishop/bishop,83394
Landeskultur- und Umweltschutzingenieur/in,State cultural and environmental protection engineer,11724
Landeskulturingenieur/in,State cultural engineer,11724
Landespfleger/in (Uni),State nurse (university),12144
Landestrainer/in (Segeln),State coach (sailing),84583
Landgewinnungsarbeiter/in,Land reclamation worker,32262
Landkartenaufzieher/in,Map puller,23422
Landkartendrucker/in,Map printer,23412
Landkartenzeichner/in,Map artist,31222
Landmaschinen- und Traktorenschlosser/in,Agricultural machinery and tractor fitter,25222
Landmaschinenbauer/in,Agricultural machinery engineer,25222
Landmaschinenfacharbeiter/in,Agricultural machinery skilled worker,25222
Landmaschinenfhrer/in,Agricultural machine operator,52512
Landmaschinenhandwerker/in,Agricultural machinery craftsman,25222
Landmaschineninstandsetzer/in,Agricultural machinery repairer,25222
Landmaschinenmechaniker/in,Agricultural machinery mechanic,25222
Landmaschinenmechanikerhelfer/in,Agricultural machinery mechanic assistant,25201
Landmaschinenreparateur/in,Agricultural machinery repairer,25222
Landmaschinenschlosser/in,Agricultural machinery fitter,25222
Landmaschinenschlossermeister/in,Master agricultural machinery fitter,25293
Landmaschinentechniker/in,Agricultural machinery technician,25223
Landschafts- und Freiraumplaner/in,Landscape and open space planner,12144
Landschaftsarbeiter/in,Landscape worker,12101
Landschaftsarchitekt/in,Landscape architect,12144
Landschaftsbaumeister/in,Landscape architect,12193
Landschaftsbautechniker/in,Landscape construction technician,12143
Landschaftsgrtner/in,Landscape gardener,12142
Landschaftsgestalter/in,Landscape designer,12143
Landschaftsmodellbauer/in,Landscape model maker,27232
Landschaftskologe/-kologin,Landscape ecologist,11724
Landschaftskologietechniker/in,Landscape ecology technician,11723
Landschaftspfleger/in,Landscape conservator,11723
Landschaftspfleger/in (Fachagrarwirt/in),Landscape conservationist (agricultural specialist),11723
Landschaftsplaner/in,Landscape planner,12144
Landtechnikberater/in,Agricultural technology consultant,11113
Landtechniker/in,Agricultural technician,11113
Landwirt/in,Farmer,11102
Landwirt/in (administrativ/beratend ttig),Farmer (administrative/advisory),11103
Landwirtschaftliche(r) Gehilf(e/in) (Verwaltung),Agricultural assistant (administration),11101
Landwirtschaftliche/r Arbeiter/in,Agricultural worker,11101
Landwirtschaftliche/r Betriebsberater/in,Agricultural business consultant,11103
Landwirtschaftliche/r Betriebshelfer/in,Agricultural farm assistant,11102
Landwirtschaftliche/r Betriebsleiter/in,Agricultural manager,11194
Landwirtschaftliche/r Brennmeister/in,Agricultural master distiller,29193
Landwirtschaftliche/r Facharbeiter/In,Agricultural skilled worker,11102
Landwirtschaftliche/r Fachberater/in,Agricultural consultant,11103
Landwirtschaftliche/r Gehilfe/Gehilfin,Agricultural assistant,11102
Landwirtschaftliche/r Gutachter/in,Agricultural expert,11123
Landwirtschaftliche/r Labortechniker/in,Agricultural laboratory technician,11133
Landwirtschaftliche/r Rechnungsfhrer/in,Agricultural accountant,72213
Landwirtschaftliche/r Sachverstndige/r,Agricultural expert,11123
Landwirtschaftliche/r Verwalter/in,Agricultural administrator,11194
Landwirtschaftlich-technische/r Laborant/in,Agricultural-technical laboratory assistant,11132
Landwirtschaftsberater/in,Agricultural consultant,11103
Landwirtschaftshelfer/in,Agricultural assistant,11101
Landwirtschaftsingenieur/in,Agricultural engineer,11104
Landwirtschaftslehrer/in,Agriculture teacher,84213
Landwirtschaftsleiter/in,Agricultural manager,11194
Landwirtschaftsmeister/in,Master of Agriculture,11193
Landwirtschaftstechniker/in,Agricultural technician,11113
Landwirtschaftswerker/in (õ66 BBiG/õ42m HWO),,11102
Landzusteller/in,Country delivery person,51322
Langdrehautomatendreher/in,Swiss-type automatic lathe operator,24232
Langhobler/in,Long planer,24232
Langlauflehrer/in,Cross-country skiing instructor,84583
"Langsiebmaschinenfhrer/in (Papier-, Zellstoffherstellung)",Fourdrinier machine operator (paper and pulp production),23112
Languettensticker/in,Languette sticker,28112
Lpper/in,Lpper/in,24222
Lascher/in (Hafen),Lasher (port),51332
Laserdruck-Operator/in (Druckvorlagenherstellung),Laser printing operator (print production),23212
Laseringenieur/in,Laser engineer,24244
Laserschweiáer/in,Laser welder,24422
Laserstrahlfachkraft,Laser beam specialist,24243
Laserstrahlfachmann/-frau,Laser beam specialist,24243
Lasertechniker/in,Laser technician,24243
Lasertechnische/r Assistent/in,Laser technical assistant,24243
Lastkraftwagenfahrer/in,Truck driver,52122
Lastkraftwagenmechaniker/in,Truck mechanic,25212
Lastverteiler/in (Elektrizittsversorgung),Load distributor (electricity supply),26233
Lastwagenfahrlehrer/in,Truck driving instructor,84513
Lastwagensattler/in,Truck saddler,28322
Latinist/in,Latinist,91174
Laufdreher/in,Running lathe operator,24232
Laufmacher/in,Running maker,24522
Laufschlosser/in,Running fitter,24522
Lautenbauer/in,Lute maker,93612
Lautenlehrer/in,Lute teacher,84414
Lawinenschutzbauarbeiter/in,Avalanche protection construction worker,32262
Layouter/in - Elektrotechnik,Layout designer - electrical engineering,26323
Layoutgrafiker/in,Layout graphic designer,23223
Layouttechniker/in - IC-Fertigung,Layout technician - IC manufacturing,26323
Lean-Manager/in,Lean manager,71314
Leasing-Berater/in,Leasing consultant,72183
Leasingfachwirt/in,Leasing specialist,72183
Leasingkreditspezialist/in,Leasing loan specialist,72183
Lebensberater/in,Life coach,83154
Lebensmittelchemielaborant/in,Food chemistry laboratory assistant,41322
Lebensmittelchemiker/in,Food chemist,41384
Lebensmittelchemiker/in (Uni),Food chemist (university),41384
Lebensmittelfachkraft,Food specialist,29202
Lebensmittelfachverkufer/in,Food specialist,62302
Lebensmittelhndler/in (Einzelhandel),Grocery store clerk (retail),62302
Lebensmittelhersteller/in,Food manufacturer,29202
Lebensmittelherstellerhelfer/in,Food manufacturer assistant,29201
Lebensmittelingenieur/in,Food engineer,29204
Lebensmittelkontrollassistent/in,Food control assistant,53332
Lebensmittelkontrolleur/in,Food inspector,53333
Lebensmittellaborant/in,Food laboratory technician,41322
Lebensmittelproduktionstechniker/in,Food production technician,29203
Lebensmittelprfer/in,Food inspector,53333
Lebensmittelsachverstndige/r,Food expert,29204
Lebensmitteltechniker/in - Bckereitechnik,Food technician - bakery technology,29223
Lebensmitteltechniker/in - Feinkost und Fertiggerichte,Food technician - delicatessen and ready meals,29283
Lebensmitteltechniker/in - Fischtechnik,Food technician - fish technology,29243
Lebensmitteltechniker/in - Fleischereitechnik,Food technician - butcher technology,29233
Lebensmitteltechniker/in - Kchentechnik,,29203
Lebensmitteltechniker/in - Lebensmittelverpackung,Food technician - food packaging,23123
Lebensmitteltechniker/in - Systemgastronomie,Food technician - system catering,29203
Lebensmitteltechnische/r Assistent/in,Food technology assistant,29202
Lebensmittelverarbeiter/in,Food processor,29202
Lebensmittelverarbeitungstechniker/in,Food processing technician,29203
Lebensmittelverfahrenstechniker/in,Food process engineer,29203
Lebensmittelverkufer/in,Food seller,62302
Lebensmittelverpackungstechniker/in,Food packaging technician,23123
Lebkuchenbcker/in,Gingerbread baker,29222
Leckageorter/in,Leak detector,34212
Lederausschneider/in,Leather cutter,28322
"Lederbekleidungsnher/in, -schneider/in","Leather clothing sewer, tailor",28222
Lederdesigner/in,Leather designer,28314
Lederdrucker/in,Leather printer,23412
Lederfrber/in,Leather dyer,28312
Ledergerber/in,Leather tanner,28312
Lederherstellerhelfer/in,Leather manufacturer assistant,28301
Lederhosenschneider/in,Lederhosen tailor,28222
Lederingenieur/in,Leather engineer,28314
Lederkleber/in,Leather gluer,28322
"Lederkleber/in, Ledernieter/in","Leather gluer, leather riveter",28322
Ledernher/in,Leather seamstress,28322
Ledernieter/in,Leather riveter,28322
Lederrestaurator/in,Leather restorer,28313
Lederschrfer/in,Leather sharpener,28322
Lederschneider/in,Leather cutter,28222
Ledersohlenstanzer/in,Leather sole puncher,28332
Lederstanzer/in,Leather puncher,28322
Lederstepper/in,Leather stepper,28322
Ledertechniker/in (staatl.gepr. ),Leather technician (state-certified),28313
Ledertechniker/Ledertechnikerin - alle Fachrichtungen,Leather technician - all disciplines,28313
Lederbernehmer/in,Leather taker,28313
Lederverarbeiterhelfer/in,Leather processing assistant,28301
Lederverarbeitungstechniker/in,Leather processing technician,28313
Lederwalker/in,Leatherwalker,28312
Lederwarenfachberater/in,Leather goods specialist consultant,62212
Lederwarenstepper/in,Leather goods stepper,28322
Lederwarenverkufer/in,Leather goods seller,62212
Lederwarenzuarbeiter/in,Leather goods worker,28301
Lederwarenzurichter/in,Leather goods dresser,28322
Lederzurichter/in,Leather dresser,28312
Lederzuschneider/in,Leather cutter,28322
Legasthenietherapeut/in,Dyslexia therapist,81723
Lehmaufbereiter/in,Clay processor,24101
Lehmformer/in,Clay moulder,24142
Lehmkernmacher/in,Clay core maker,24142
Lehramtsanwrter/in,Trainee teacher,84124
Lehrarzthelfer/in,Teaching physician assistant,84213
Lehrassistent/in - Funktionsdiagnostik,Teaching Assistant - Functional Diagnostics,84213
Lehrassistent/in - Radiologie,Teaching Assistant - Radiology,84213
Lehrassistent/in - Zytologie,Teaching Assistant - Cytology,84213
Lehrbaumeister/in,Apprentice master builder,84223
Lehrbeauftragte/r - Bildungseinrichtung (Musikberufe),Lecturer - Educational Institution (Music Professions),84304
Lehrbeauftragte/r - Studienseminar,Lecturer - study seminar,84144
Lehrenbauer/in,Gauge builder,24522
Lehrenbohrwerkdreher/in,Jig boring mill turner,24232
Lehrenformer/in,Teaching shaper,24142
Lehrer/in,Teacher,84124
Lehrer/in - Alexander-Technik,Teacher - Alexander Technique,84553
Lehrer/in - allgemeinbildende Schulen,Teacher - general education schools,84124
Lehrer/in - Altenpflege,Teacher - geriatric care,84213
Lehrer/in - Arbeitserziehung,Teacher - Work Education,84214
Lehrer/in - Begabtenfrderung,Teacher - Support for Gifted Students,84134
Lehrer/in - Bergfhrer/innenausbildung,Teacher - mountain guide training,84213
Lehrer/in - berufliche Schulen,Teacher - vocational schools,84214
Lehrer/in - Berufsbildende Schulen,Teacher - vocational schools,84214
Lehrer/in - Berufsschulen,Teacher - vocational schools,84214
Lehrer/in - Bothmergymnastik,Teacher - Bothmer gymnastics,81783
Lehrer/in - chinesische Bewegungskunst,Teacher - Chinese movement art,84553
Lehrer/in - Deutsch als Fremdsprache,Teacher - German as a foreign language,84454
Lehrer/in - Ditassistenz,Teacher - diet assistant,84213
Lehrer/in - Ergotherapie,Teacher - occupational therapy,84213
Lehrer/in - Erwachsenenbildung,Teacher - Adult Education,84404
Lehrer/in - Fachpraxis,Teacher - specialist practice,84214
Lehrer/in - Fachschulen der Seefahrt,Teacher - maritime technical schools,84214
Lehrer/in - Fachschulen fr Nautik,Teacher - technical schools for nautical science,84214
Lehrer/in - Fechten,Teacher - Fencing,84583
Lehrer/in - Frderschulen,Teacher - special schools,84134
Lehrer/in - Forstfachschulen,Teacher - forestry schools,84213
Lehrer/in - Fuápflege,Teacher - foot care,84213
Lehrer/in - Gesamtschulen,Teacher - comprehensive schools,84124
Lehrer/in - Gesundheitsfachberufe,Teacher - Health Professions,84213
Lehrer/in - Grundschulen,Teacher - primary schools,84114
Lehrer/in - Gymnasien,Teacher - high schools,84124
Lehrer/in - Hauptschulen (Sekundarstufe I),Teacher - secondary schools (secondary level I),84124
Lehrer/in - Haus- und Familienpflege,Teacher - Home and Family Care,84213
Lehrer/in - Hauswirtschaft,Teacher - Home Economics,84213
Lehrer/in - Hebammenschulen,Teacher - midwifery schools,84213
Lehrer/in - Heileurythmie,Teacher - Eurythmy Therapy,84213
Lehrer/in - Heilpraktikerausbildungssttten,Teacher - alternative practitioner training centers,84213
Lehrer/in - Informationstechnik,Teacher - Information Technology,84444
Lehrer/in - Informationsverarbeitung,Teacher - information processing,84444
Lehrer/in - kaufmnnische Fcher,Teacher - commercial subjects,84214
Lehrer/in - Krankengymnastik,Teacher - Physiotherapy,84213
Lehrer/in - Krankenpflegeschulen,Teacher - nursing schools,84213
Lehrer/in - Kunsttherapie,Teacher - Art Therapy,84213
Lehrer/in - Kurzschrift,Teacher - Shorthand,84213
Lehrer/in - Landwirtschaft,Teacher - Agriculture,84213
Lehrer/in - Logopdie,Teacher - speech therapy,84213
Lehrer/in - medizinisch-technische Assistenzberufe,Teacher - medical-technical assistant professions,84213
Lehrer/in - Musikalische Frherziehung,Teacher - Early Musical Education,84414
Lehrer/in - Musikalische Grundausbildung,Teacher - basic musical training,84414
Lehrer/in - Pflegeberufe,Teacher - nursing professions,84213
Lehrer/in - Physiotherapie,Teacher - Physiotherapy,84213
Lehrer/in - Real-/Mittelschulen (Sekundarstufe I),Teacher - Real/Middle Schools (Secondary Level I),84124
Lehrer/in - Rettungsdienst,Teacher - emergency services,84213
Lehrer/in - Rhythmik,Teacher - Rhythmics,84414
Lehrer/in - rhythmisch-musikalische Erziehung,Teacher - rhythmic-musical education,84414
Lehrer/in - Schularten der Sekundarstufe I,Teacher - Types of schools at secondary level I,84124
Lehrer/in - Schule fr Arbeitserziehung,Teacher - School for Work Education,84214
Lehrer/in - Sekundarstufe I an Realschulen,Teacher - secondary level I at secondary schools,84124
"Lehrer/in - Sekundarstufe II, allgemeinbildendes Schulwesen","Teacher - secondary level II, general education system",84124
Lehrer/in - Sonderpdagogik,Teacher - special education,84134
Lehrer/in - Sonderschulen,Teacher - special schools,84134
Lehrer/in - Stimmbildung und Sprachheilkunde,Teacher - voice training and speech therapy,84213
Lehrer/in - Sttzunterricht,Teacher - support teaching,84134
Lehrer/in - Tanz und tnzerische Gymnastik,Teacher - dance and dance gymnastics,84533
Lehrer/in - Tanzsport,Teacher - Dance Sport,84533
Lehrer/in - untere Klassen,Teacher - lower grades,84114
Lehrer/in - Waldarbeiterschulen,Teacher - forestry schools,84213
Lehrer/in - Waldorfschulen,Teacher - Waldorf schools,84124
Lehrer/in (staatl.gepr.) - Tnzerische Gymnastik u. Sport,Teacher (state-certified) - dance gymnastics and sports,84533
Lehrer/in (Uni) - Gesamtschulen,Teacher (university) - comprehensive schools,84124
Lehrer/in an berufsbildenden Schulen (Gesundheit),Teacher at vocational schools (health),84213
Lehrer/in/Dozent/in - Erwachsenenbildung,Teacher/Lecturer - Adult Education,84404
Lehreurythmist/in,Eurythmist teacher,84213
Lehrgruppenleiter/in,Teaching group leader,84404
Lehrkardiotechniker/in,Teaching cardiotechnician,84213
Lehrkraft - Altenpflegeschulen,Teacher - geriatric care schools,84213
"Lehrkraft - Atem-, Sprech-, Stimmlehrer/innen","Teacher - breathing, speaking and voice teachers",84213
Lehrkraft - Beschftigungs- u. Arbeitstherapie,Teacher - occupational and work therapy,84213
Lehrkraft - Bildungszentrum/Fachbereich Finanzen,Teacher - Education Center/Finance Department,84304
Lehrkraft - Desinfektorenschulen,Teacher - Disinfector Schools,84213
Lehrkraft - Deutsche Bundesbank,Teacher - Deutsche Bundesbank,84304
Lehrkraft - Ditassistenten,Teacher - diet assistant,84213
Lehrkraft - DV,Teacher - DV,84444
Lehrkraft - Erwachsenenbildung,Teacher - Adult Education,84404
Lehrkraft - Fachschulen - Dorfhelfer/innen,Teacher - technical schools - village helpers,84213
Lehrkraft - FH Finanzen,Teacher - FH Finance,84304
Lehrkraft - FH Kriminaldienst - Lnder,Teacher - University of Applied Sciences Criminal Investigation - Countries,84304
Lehrkraft - Fuápflege,Teacher - foot care,84213
Lehrkraft - Gesang,Teacher - singing,84414
Lehrkraft - Haus- u. Familienpflegeschulen,Teacher - home and family care schools,84213
Lehrkraft - Heilerziehungspflege,Teacher - curative education care,84213
Lehrkraft - Heilpdagogik,Teacher - special education,84213
Lehrkraft - Jazz-Dance,Teacher - Jazz Dance,84533
Lehrkraft - Kosmetik,Teacher - Cosmetics,84213
Lehrkraft - Medizintechnik,Teacher - Medical Technology,84484
Lehrkraft - Mittlerer Polizeivollzugsdienst,Teacher - Intermediate Police Service,84213
Lehrkraft - Motopdie/Bewegungstherapie an Berufsb. Schulen,Teacher - Motopdie/exercise therapy at vocational level. Schools,84213
Lehrkraft - Naturwissenschaften und Technik,Teacher - Science and Technology,84214
Lehrkraft - Pharmazieberufe,Teacher - Pharmacy Professions,84213
Lehrkraft - Physiotherapie,Teacher - Physiotherapy,84213
Lehrkraft - Schulen im Gesundheitswesen,Teacher - Schools in the healthcare sector,84213
