de,en
Holzrestaurator/in,Wood restorer
Holzrcker/in,Holzrcker/in
Holzsger/in,Wood sawyer
Holzschiffbauer/in,Wooden shipbuilder
Holzschleifer/in,Wood grinder
Holzschneider/in,Wood cutter
Holzschnitzer/in,Wood carver
Holzschnitzermeister/in,Master wood carver
Holzschtzer/in,Wood treasurer
Holzschutzsachverstndige/r,Wood protection expert
Holzspielwarendrechsler/in,Wooden toy turner
Holzspielwarenmacher/in,Wooden toy maker
Holzspielwarenschnitzer/in,Wooden toy carver
Holzspielzeugmacher/in,Wooden toy maker
Holzspielzeugmachermeister/in,Master wooden toy maker
Holztechniker/in - Automatisierungstechnik,Wood technician - automation technology
Holztechniker/in - Betriebstechnik,Wood technician - industrial technology
Holztechniker/in - Mbelbau und Raumgestaltung,Wood technician - furniture construction and interior design
Holztechnikmeister/in,Wood technology master
Holztreppenbauer/in,Wooden staircase builder
Holztrockner/in,Wood dryer
Holzverformerhelfer/in,Wood shaping assistant
Holzvergolder/in,Wood gilder
Holzwarenmacher/in,Wooden goods maker
Holzwarenmacherhelfer/in,Woodworking assistant
Holzwarentechniker/in,Wood products technician
Holzwirt/in,Lumberjack/in
Homogeniseur/in,Homogenizer
Homopath/in,Homopath/in
Honigkocher/in,Honey cooker
Honorarprofessor/in,Honorary professor
Hopfenanbauer/in,Hop grower
Hopfenbauer/-buerin,Hop farmer
Hrakustiker/in,Hearing acoustician
Hrakustikermeister/in/B. Prof. Hrakustiker-Handwerk,Master audiologist/B. Prof. acoustician craftsmanship
Hrfunk- und Fernsehsprecher/in,Radio and television announcer
Hrfunk- und Multimediajournalist/in,Radio and multimedia journalist
Hrfunkdramaturg/in,Radio dramaturge
Hrfunkmoderator/in,Radio presenter
Hrfunkredakteur/in,Radio editor
Hrgerteakustiker/in,Hearing aid acoustician
Hrgertemeister/in,Hearing aid master
Hrgertetechniker/in,Hearing aid technician
Horizontalbankdreher/in,Horizontal bench lathe operator
Horizontalbohrer/in,Horizontal drill
Hornlehrer/in,Horn teacher
Horterzieher/in,After-school care teacher
Hortleiter/in,After-school care manager
Hosennher/in,Trouser seamstress
Hospizleiter/in,
Host (Ferienhotel),Host (holiday hotel)
Hostess/Host,Hostess/Host
Hotel- u. Gaststttengehilfe/-gehilfin,Hotel and restaurant assistant
Hotel- und Gastronomiemanagement-konom/in (VWA),Hotel and catering management economist (VWA)
Hotelangestellte/r,Hotel employee
Hotelanimateur/in,Hotel entertainer
Hotelassistent/in,Hotel assistant
Hotelbetriebsleiter/in,Hotel operations manager
Hotelbetriebswirt/in,Hotel business economist
Hotelbuchhalter/in,Hotel accountant
Hotelbrosachbearbeiter/in,Hotel office clerk
Hoteldiener/in,Hotel valet
Hoteldirektionsassistent/in,Hotel management assistant
Hoteldirektrice,Hotel manager
Hotelfachassistent/in,Hotel management assistant
Hotelfachkraft,Hotel manager
Hotelfachmann/-frau,Hotel manager/woman
Hotelgehilfe/-gehilfin,Hotel assistant
Hotelgeschftsfhrer/in,Hotel manager
Hotelkaufmann/-frau,Hotel clerk
Hotelkoch/-kchin,Hotel chef/cook
Hotelkonditor/in,Hotel pastry chef
Hotelleiter/in,Hotel manager
Hotelmanagementbetriebswirt/in (Hochschule),Hotel management business economist (university)
Hotelmanager/in,Hotel manager
Hotelmeister/in,Hotel manager
Hotelportier,Hotel porter
Hotelreservierungssachbearbeiter/in,Hotel reservation clerk
Hotelsekretr/in,Hotel secretary
Hotelverkaufssachbearbeiter/in,Hotel sales clerk
Hotelzimmermdchen,Hotel chambermaid
Hotline-Mitarbeiter/in,Hotline employee
Hubschrauberfhrer/in,Helicopter pilot
Hufbeschlaghelfer/in,Horse shoeing assistant
Hufbeschlaglehrschmied/in,Farrier training for horseshoeing
Hufbeschlagschmied/in,Farrier
Hufpfleger/in,Hoof trimmer
Hufschmied/in,Farrier
Huftechniker/in,Hoof technician
Humanbiologe/-biologin,Human biologist
Humangenetiker/in,Human geneticist
Humanphysiologe/-physiologin,Human physiologist
Humorist/in,humorist
Hundedressierer/in,Dog trainer
Hundefriseur/in,Dog groomer
Hundefhrer/in,Dog handler
Hundepfleger/in,Dog groomer
Hundetrainer/in,Dog trainer
Hundeverhaltenstherapeut/in,Canine behavior therapist
Hundezchter/in,Dog breeder
Hungarologe/Hungarologin,Hungarologist/Hungarologist
Hut- und Mtzenmacher/in,Hat and cap maker
Hut- und Mtzenmachermeister/in,Master hat and cap maker
Huteinfasser/in,Hat binder
Hutformer/in,Hat shaper
Hutmacher/in,Milliner
Hutmachermeister/in,Master hatter
Hutnher/in (Damenhutherstellung),Hat sewer (women's hat making)
Hutstepper/in,Hat stepper
Hutstumpenmacher/in,Hat pillar maker
Hutstumpenmacherhelfer/in,Hat pillar maker assistant
Httenfacharbeiter/in,Manufacturing skilled worker
Htteningenieur/in,Hardware engineer
Httenmeister/in (Glastechnik),Master craftsman (glass technology)
Httentechniker/in,Httentechniker/in
Httentechniker/in - Produktion,Httentechniker - Production
Httentechnikmeister/in,Httentechnikmeister/in
Httenwerker/in,Httenwerker/in
"Httenwerker/in - Hochofen,Stahlwerk,Eisen-/Stahlmetallurgie","Ironworker - blast furnace, steelworks, iron/steel metallurgy"
"Httenwerker/in - Walzwerk, Eisen- u. Stahlumformung","Ironworker - rolling mill, iron and steel forming"
Httenwirt/in,Hut host/in
Huttrimmer/in,Hat trimmer
Hydraulik- und Pneumatiktechniker/in,Hydraulic and pneumatics technician
Hydrauliker/in,Hydraulic engineer
Hydraulik-Fachkraft,Hydraulics specialist
Hydraulikingenieur/in,Hydraulic engineer
Hydraulikkonstrukteur/in,Hydraulic designer
Hydraulikmechaniker/in,Hydraulic mechanic
Hydraulikprfer/in,Hydraulic tester
Hydraulikschlosser/in,Hydraulic fitter
Hydrauliktechniker/in,Hydraulic technician
Hydrobiologe/-biologin,Hydrobiologist
Hydrogeologe/-geologin,Hydrogeologist
Hydrologe/Hydrologin,Hydrologist/Hydrologist
Hydrologietechniker/in,Hydrology technician
Hygiene-Assistent/in,Hygiene assistant
Hygienebeauftragte/r,Hygiene officer
Hygienefachberater/in,Hygiene consultant
Hygienefachkraft,Hygienist
Hygienefachschwester/-pfleger,Hygiene specialist nurse
Hygieneingenieur/in (FS) / Arbeitshygieneingenieur/in (FS),Hygiene engineer (FS) / industrial hygiene engineer (FS)
Hygieneinspektor/in,Hygiene inspector
Hygienekontrolleur/in,Hygiene inspector
Hygienesachbearbeiter/in,Hygiene officer
Hygienetechniker/in,Hygiene technician
Hygienike/r (Facharzt/-rztin),Hygienist (specialist)
Hypnoseknstler/in,Hypnosis artist
Hypnotiseur/in (Heilpraktiker/in),Hypnotist (natural health practitioner)
Hypnotiseur/in (nicht Arzt/rztin oder Heilpraktiker/in),Hypnotist (not a doctor or alternative practitioner)
Hypothekenmakler/in,Mortgage broker
Idea- und Innovations-Manager/in,Idea and innovation manager
Identity-/Access-Manager/in,Identity/Access Manager
Illusionist/in,Illusionist
Illusionsknstler/in,Illusion artist
Illustrationsdesigner/in,Illustration designer
Illustrationsdrucker/in,Illustration printer
Imam,imam
Imbissverkufer/in,Snack vendor
Imitator/in,impersonator
Imker/in,Beekeeper
Imkergehilfe/-gehilfin,Beekeeping assistant
Imkermeister/in,Master beekeeper
Immissionsschutzbeauftragte/r,Immission control officer
Immobilienagent/in,Real estate agent
Immobilienanalyst/in,Real estate analyst
Immobilienassistent/in,Real estate assistant
Immobilienberater/in,Real estate consultant
Immobilienbetriebswirt/in (Fachschule),Real estate business economist (technical school)
Immobilienbetriebswirt/in (Hochschule),Real estate business economist (university)
Immobilienfachwirt/in,Real estate specialist
Immobilienhndler/in,Real estate dealer
Immobilienkaufmann/-frau,Real estate agent/woman
Immobilienmakler/in,Real estate agent
Immobilien-konom/in,Real estate economist
Immobiliensachverstndige/r,Real estate expert
Immobilienverkufer/in,Real estate seller
Immunhmatologische/r Assistent/in,Immunohmatological assistant
Immunologe/Immunologin,Immunologist/Immunologist
Importkaufmann/-frau,Import merchant/woman
Importsachbearbeiter/in,Import clerk
Imprgnierer/in,Impregnator
Imprgnierer/in (Holz),Impregnator (wood)
Inbetriebnahmeingenieur/in,Commissioning engineer
Inbetriebnahme-Ingenieur/in - Elektrotechnik,Commissioning engineer - electrical engineering
Inbetriebnahmetechniker/in - Elektrotechnik,Commissioning technician - electrical engineering
Inbetriebnahmetechniker/in - Energietechnik,Commissioning technician - energy technology
Inbetriebnahmetechniker/in - Fahrzeugtechnik,Commissioning technician - vehicle technology
Inbetriebnahmetechniker/in - Maschinenbau,Commissioning technician - mechanical engineering
Indologe/Indologin,Indologist/Indologist
Indonesist/in (Uni),Indonesian student (university)
Induktionshrter/in,Induction hardener
Industrial Engineer (Uni/FH),Industrial Engineer (University/FH)
"Industrie-, Produktdesigner/in",Industrial and product designer
Industrieanlagenelektroniker/in,Industrial plant electronics technician
Industrieanlagenmechaniker/in,Industrial plant mechanic
Industrieanstreicher/in,Industrial painter
Industrieanthropologe/-anthropologin,Industrial anthropologist
Industrie-Archologe/-Archologin,Industrial archaeologist
Industrie-Archologe/-Archologin/Archometer/in (Uni),Industrial Archologist/Archologist/Archometer (University)
Industriebackmeister/in,Industrial baker
Industrie-Betriebswirt/in - Bauwirtschaft,Industrial business economist - construction industry
Industrie-Betriebswirt/in - Naturwerkstein,Industrial business economist - natural stone
Industriebraumeister/in,Industrial brewer
Industriebuchbinder/in,Industrial bookbinder
Industriedetektiv/in,Industrial detective
Industrieelektriker/in - Betriebstechnik,Industrial electrician - industrial technology
Industrieelektriker/in - Gerte und Systeme,Industrial electrician - devices and systems
Industrieelektroniker/in,Industrial electronics technician
Industrieelektroniker/in - Gertetechnik,Industrial electronics technician - device technology
Industrieelektroniker/in - Produktionstechnik,Industrial electronics technician - production technology
Industrieelektroniker/in - Produktionstechnik - Prffeld,Industrial electronics technician - production technology - testing field
"Industrieelektroniker/in (Gertetechnik) - Service, Reparat.","Industrial electronics technician (equipment technology) - service, repair."
Industrieelektroniker/in (Produktionstech.)-Entw./Konst.,Industrial electronics engineer (production technology) development/const.
Industrieelektroniker/in (Produktionstechnik) - Auáenmontage,Industrial electronics technician (production technology) - external assembly
Industrieelektroniker/in (Produktionstechnik) - Wartung,Industrial electronics technician (production technology) - maintenance
Industriefachhelfer/in (õ66 BBiG/õ42m HWO),Industrial assistant (õ66 BBiG/õ42m HWO)
Industriefachkraft - CNC-Technik,Industrial specialist - CNC technology
Industriefachkraft - Lasertechnik,Industrial specialist - laser technology
Industriefachmann/-frau - Lasertechnik,Industrial specialist - laser technology
Industriefotograf/in,Industrial photographer
Industriegeograf/in,Industrial geographer
Industrieglaser/in,Industrial glazier
Industrieglasfertiger/in,Industrial glass manufacturer
Industrieglasfertiger/in - Maschinentechnik,Industrial glass manufacturer - mechanical engineering
"Industrieglasfertiger/in - Meá-,Steuerungs-,Regelungstechnik","Industrial glass manufacturer - Meá, control and regulation technology"
Industrieglasfertiger/in - Weiterverarbeitung u. Veredelung,Industrial glass manufacturer - further processing and finishing
Industrieglasmacher/in,Industrial glassmaker
Industrieglasmacherhelfer/in,Industrial glassmaker assistant
Industrie-Isolierer/in,Industrial insulator
Industriekaufmann/-frau,Industrial clerk
Industriekeramiker/in - Formgebung,Industrial ceramicist - shaping
Industriekeramiker/in - Mechanik,Industrial ceramicist - mechanics
Industriekeramiker/in Anlagentechnik,Industrial ceramics engineer/in systems engineering
Industriekeramiker/in Dekorationstechnik,Industrial ceramicist in decoration technology
Industriekeramiker/in Modelltechnik,Industrial ceramicist/model technology
Industriekeramiker/in Verfahrenstechnik,Industrial ceramicist/process engineering
Industriekeramiktechniker/in,Industrial ceramics technician
Industrieklempner/in,Industrial plumber
Industriekletterer/-kletterin,Industrial climber
Industrielackierer/in,Industrial painter
Industriemaler/in,Industrial painter
Industriemechaniker/in,Industrial mechanic
Industriemechaniker/in - Betriebstechnik,Industrial mechanic - industrial engineering
Industriemechaniker/in - Gerte- und Feinwerktechnik,Industrial mechanic - equipment and precision engineering
Industriemechaniker/in - Maschinen- und Systemtechnik,Industrial mechanic - machine and system technology
Industriemechaniker/in - Produktionstechnik,Industrial mechanic - production technology
Industriemeister/in,Industrial foreman
Industriemeister/in - Akustik- und Trockenbau,Industrial foreman - acoustic and drywall construction
Industriemeister/in - allgemein,Industrial foreman - general
Industriemeister/in - Aluminiumbe- und -verarbeitung,Industrial foreman - aluminum machining and processing
Industriemeister/in - Aufbereitungs- und Verfahrenstechnik,Industrial foreman - processing and process engineering
Industriemeister/in - Backwaren,Industrial foreman - baked goods
Industriemeister/in - Bekleidung,Industrial foreman - clothing
Industriemeister/in - Bekleidung (Damenhutherstellung),Industrial foreman - clothing (women's hat production)
Industriemeister/in - Betonsteinindustrie,Industrial foreman - concrete block industry
Industriemeister/in - Betriebstechnik (Gebude),Industrial foreman - operating technology (building)
Industriemeister/in - Brot,Industrial foreman - bread
Industriemeister/in - Buchbinderei,Industrial foreman - bookbinding
Industriemeister/in - Chemie,Industrial foreman - chemistry
Industriemeister/in - Dauerbackwaren,Industrial foreman - long-life baked goods
Industriemeister/in - Digital- und Printmedien,Industrial foreman - digital and print media
Industriemeister/in - Draht,Industrial foreman - wire
Industriemeister/in - Druck,Industrial foreman - printing
Industriemeister/in - Druck- und Medientechnik,Industrial foreman - printing and media technology
Industriemeister/in - Edelsteinbearbeitung,Industrial foreman - gemstone processing
Industriemeister/in - Eisenbahn,Industrial foreman - railway
Industriemeister/in - Elektro (Feingerteelektronik),Industrial foreman - electrical (fine device electronics)
Industriemeister/in - Elektro (Nachrichten-/Telekom.-Tech.),Industrial foreman - Electrical (communications/telecom technology)
Industriemeister/in - Elektro (Nachrichtentechnik),Industrial foreman - Electrical (communications engineering)
Industriemeister/in - Elektro-/Energietechnik(Betriebstech.),Industrial foreman - electrical/energy engineering (industrial engineering)
Industriemeister/in - Elektronik (Fluggertelektronik),Industrial foreman - electronics (aircraft electronics)
Industriemeister/in - Elektrotechnik,Industrial foreman - electrical engineering
Industriemeister/in - Elektrotechnik (Elektronik),Industrial foreman - electrical engineering (electronics)
Industriemeister/in - Elektrotechnik (Energietechnik),Industrial foreman - electrical engineering (energy technology)
Industriemeister/in - Elektrotechnik (Mess/Steuer/Regelung.),Industrial foreman - electrical engineering (measuring/control/regulation)
Industriemeister/in - Elektrotechnik (Nachrichtentechnik/IT),Industrial foreman - electrical engineering (communications engineering/IT)
Industriemeister/in - Energieanlagenelektronik,Industrial foreman - energy system electronics
Industriemeister/in - Fahrzeuginnenausstattung,Industrial foreman - vehicle interiors
Industriemeister/in - Fahrzeuginter.Mechanik/B. Prof. Fahrz.,Industrial foreman - vehicle inter.mechanics/B. Prof. Fahrz.
Industriemeister/in - Fahrzeugpolsterung,Industrial foreman - vehicle upholstery
Industriemeister/in - Farben,Industrial foreman - colors
Industriemeister/in - Feinoptik,Industrial foreman - fine optics
Industriemeister/in - Flugzeugb./Luftfahrtt./B. Prof. Luftt.,Industrial foreman - aircraft department/aviation department/B. Prof. Luftt.
Industriemeister/in - Flugzeugbau,Industrial foreman - aircraft construction
Industriemeister/in - Fotobildtechnik,Industrial foreman - photo image technology
Industriemeister/in - Fruchtsaft und Getrnke,Industrial foreman - fruit juice and drinks
Industriemeister/in - Galvanik,Industrial foreman - electroplating
Industriemeister/in - Gebudeservice,Industrial foreman - building service
Industriemeister/in - Gebudetechnik,Industrial foreman - building technology
Industriemeister/in - Gertetechnik,Industrial foreman - equipment technology
Industriemeister/in - Gieáerei,Industrial foreman - foundry
Industriemeister/in - Gieáereitechnik,Industrial foreman - foundry technology
Industriemeister/in - Glas,Industrial foreman - glass
Industriemeister/in - Groábuchbinderei,Industrial foreman - large bookbinding
Industriemeister/in - Holz/B. Prof. Holztechnik,Industrial foreman - wood/B. Prof. Wood Technology
Industriemeister/in - Holzbearbeitung,Industrial foreman - woodworking
Industriemeister/in - Holzverarbeitung,Industrial foreman - wood processing
Industriemeister/in - Httentechnik,Industrial foreman - Httentechnik
Industriemeister/in - Instandhaltung u. Kundendienst,Industrial foreman - maintenance and customer service
Industriemeister/in - Isolierung,Industrial foreman - insulation
Industriemeister/in - Kalk/Zement,Industrial foreman - lime/cement
Industriemeister/in - Kautschuk,Industrial foreman - rubber
Industriemeister/in - Keramik,Industrial foreman - ceramics
Industriemeister/in - Kraftverkehr,Industrial foreman - motor transport
Industriemeister/in - Kunststoff und Kautschuk,Industrial foreman - plastics and rubber
Industriemeister/in - Kunststoffverarbeitung,Industrial foreman - plastics processing
Industriemeister/in - Lack- und Besch./B. Prof. Lack/Besch.,Industrial foreman - paint and coating/B. Prof. Lacquer/Dam.
"Industriemeister/in - Lager, Versand, Transport","Industrial foreman - warehouse, shipping, transport"
Industriemeister/in - Lagerwirtschaft,Industrial foreman - warehouse management
Industriemeister/in - Lagerwirtschaft u. Transportwesen,Industrial foreman - warehousing and transport
Industriemeister/in - Lebensmittel,Industrial foreman - food
Industriemeister/in - Lederherstellung,Industrial foreman - leather production
Industriemeister/in - Leitungsbau,Industrial foreman - line construction
Industriemeister/in - Luftfahrttechnik,Industrial foreman - aviation technology
Industriemeister/in - Maschinen- und Gertebau,Industrial foreman - mechanical and equipment engineering
Industriemeister/in - Mechatronik,Industrial foreman - mechatronics
Industriemeister/in - Medientechnik,Industrial foreman - media technology
Industriemeister/in - Medizintechnik,Industrial foreman - medical technology
Industriemeister/in - Mess- u. Prftechnik,Industrial foreman - measurement and testing technology
Industriemeister/in - Messtechnik,Industrial foreman - measurement technology
Industriemeister/in - Metall,Industrial foreman - metal
Industriemeister/in - Metall (Apparatetechnik),Industrial foreman - metal (apparatus technology)
Industriemeister/in - Metall (Ausrstungstechnik),Industrial foreman - metal (equipment technology)
Industriemeister/in - Metall (Automobilindustrie),Industrial foreman - metal (automotive industry)
Industriemeister/in - Metall (Betriebstechnik),Industrial foreman - metal (industrial engineering)
Industriemeister/in - Metall (Formentechnik),Industrial foreman - metal (mold technology)
Industriemeister/in - Metall (Gerte- u. Feinwerktechnik),Industrial foreman - metal (equipment and precision engineering)
Industriemeister/in - Metall (Metall- u. Schiffbautechnik),Industrial foreman - metal (metal and shipbuilding technology)
Industriemeister/in - Metall (Produktionstechnik),Industrial foreman - metal (production technology)
Industriemeister/in - Metall (Stanz- u. Umformtechnik),Industrial foreman - metal (stamping and forming technology)
Industriemeister/in - Modellbaumechanik,Industrial foreman - model building mechanics
Industriemeister/in - Naturwerkstein,Industrial foreman - natural stone
Industriemeister/in - Netzmeister,Industrial foreman - network master
Industriemeister/in - Oberflchentechnik,Industrial foreman - surface technology
Industriemeister/in - Oberflchenveredlung,Industrial foreman - surface finishing
Industriemeister/in - Optik,Industrial foreman - optics
Industriemeister/in - Papier,Industrial foreman - paper
Industriemeister/in - Papier- und Kunststoffverarbeitung,Industrial foreman - paper and plastic processing
Industriemeister/in - Papier- und Pappeverarbeitung,Industrial foreman - paper and cardboard processing
Industriemeister/in - Papiererzeugung,Industrial foreman - paper production
Industriemeister/in - Papierverarbeitung,Industrial foreman - paper processing
Industriemeister/in - Pharmazie,Industrial foreman - pharmacy
Industriemeister/in - Planung/Konstruktion,Industrial foreman - planning/construction
Industriemeister/in - Polsterei/Polstermbel,Industrial foreman - upholstery/upholstery
Industriemeister/in - Polstermbel,Industrial foreman - upholstered furniture
Industriemeister/in - Printmedien/B. Prof. Print,Industrial foreman - print media/B. Prof Print
Industriemeister/in - Qualittskontrolle,Industrial foreman - quality control
Industriemeister/in - Qualittsmanagement,Industrial foreman - quality management
Industriemeister/in - Rohrleitungsbau,Industrial foreman - pipeline construction
Industriemeister/in - Rohrnetzbau und Rohrnetzbetrieb,Industrial foreman - pipe network construction and pipe network operation
Industriemeister/in - Sgeindustrie,Industrial foreman - saw industry
Industriemeister/in - Sgewerker,Industrial foreman - sawmill worker
Industriemeister/in - Schuhfertigung,Industrial foreman - shoe production
Industriemeister/in - Stanztechnik,Industrial foreman - punching technology
Industriemeister/in - Sáwaren,Industrial foreman - Sáwaren
Industriemeister/in - Tapetendruck,Industrial foreman - wallpaper printing
Industriemeister/in - Techn. Wagenbehandlung - Eisenbahn,Industrial foreman - technical wagon handling - railway
Industriemeister/in - Technische Konfektion,Industrial foreman - technical assembly
Industriemeister/in - Textil,Industrial foreman - textile
"Industriemeister/in - Textil (Weberei,Spinnerei,Zwirnerei)","Industrial foreman - textile (weaving, spinning, twisting)"
Industriemeister/in - Textilwirtschaft,Industrial foreman - textile industry
Industriemeister/in - Versorgung,Industrial foreman - supply
Industriemeister/in - Wrmebehandlungstechnik,Industrial foreman - heat treatment technology
Industriemeister/in - Werksbahnbetrieb,Industrial foreman - works railway operations
Industriemeister/in - Werkstoffprfung (Industrie),Industrial foreman - materials testing (industry)
Industriemodellbauer/in,Industrial model maker
Industrienher/in,Industry specialist
Industrieofenbauer/in,Industrial furnace builder
Industriepolsterer/-polsterin,Industrial upholsterer/upholsterer
Industriereiniger/in (Gebudereinigung),Industrial cleaner (building cleaning)
Industriesattler/in,Industrial saddler
Industrieschmied/in,Industrial blacksmith
Industrieschneider/in,Industrial tailor
Industrieschreiner/in,Industrial carpenter
Industriesteinmetz/in,Industrial stonemason
Industriesystemtechniker/in,Industrial systems technician
Industrietauchlackierer/in,Industrial dip painter
Industrietechnologe/in-Datent./Kommunik.(Service-Experte/in),Industrial technologist-data/communications (service expert)
Industrietechnologe/-technologin,Industrial technologist
Industrietechnologe/-technologin - Automatisierungstechnik,Industrial technologist - automation technology
Industrietechnologe/-technologin - Datentechnik,Industrial technologist - data technology
Industrietechnologe/-technologin - Maschinenbau/Energietech.,Industrial technologist - mechanical engineering/energy technology.
Industrietechnologe/-technologin - Mechatronik,Industrial technologist - mechatronics
Industrietechnologe/-technologin - Mechatronische Systeme,Industrial technologist - Mechatronic systems
Industrietechnologe/-technologin - Nachrichtentechnik,Industrial technologist - communications engineering
Industrietischler/in,Industrial carpenter
Industrieuhrmacher/in,Industrial watchmaker
Industrieverglaser/in,Industrial glazier
Industrie-Wschenher/in,Industrial washer
Infektologe/Infektologin (Facharzt/-rztin),Infectologist (specialist)
Influencer-Marketing-Manager/in,Influencer Marketing Manager
Infobroker/in,Info broker
Infomanager/in,Info manager
Informatikassistent/in - Betriebsinformatik,IT assistant - business IT
Informatikassistent/in - Medieninformatik,IT assistant - media informatics
Informatikassistent/in - Softwaretechnik,IT assistant - software engineering
Informatikassistent/in - technische Informatik,IT assistant - technical computer science
Informatikassistent/in - Wirtschaft,IT Assistant - Business
Informatikassistent/in - Wirtschaftsinformatik,IT assistant - business informatics
Informatik-Betriebswirt/in VWA,IT business economist VWA
Informatik-Elektroniker/in,Computer electronics engineer
Informatiker/in,Computer scientist
Informatiker/in - angewandte Informatik,Computer scientist - applied computer science
Informatiker/in - CNC-Systemtechnik,Computer scientist - CNC system technology
Informatiker/in (Hochschule),Computer scientist (university)
Informatiker/in (Hochschule) - allgemeine Informatik,Computer scientist (university) - general computer science
Informatiker/in (Hochschule) - angewandte Informatik,Computer scientist (university) - applied computer science
Informatiker/in (Hochschule) - betriebliche Umweltinformatik,Computer scientist (university) - operational environmental informatics
Informatiker/in (Hochschule) - Bioinformatik,Computer scientist (university) - bioinformatics
Informatiker/in (Hochschule) - Geoinformatik,Computer scientist (university) - geoinformatics
Informatiker/in (Hochschule) - Ingenieurinformatik,Computer scientist (university) - engineering informatics
Informatiker/in (Hochschule) - Medieninformatik,Computer scientist (university) - media informatics
Informatiker/in (Hochschule) - Medizininformatik,Computer scientist (university) - medical informatics
Informatiker/in (Hochschule) - Softwaretechnik,Computer scientist (university) - software engineering
Informatiker/in (Hochschule) - Umweltinformatik,Computer scientist (university) - environmental informatics
Informatiker/in (Hochschule) - Verwaltungsinformatik,Computer scientist (university) - administrative informatics
Informatiker/in (Hochschule) - Wirtschaftsinformatik,Computer scientist (university) - business informatics
Informatiker/in (staatl. gepr.) FR Multimedia,Computer scientist (state-certified) FR Multimedia
Informatiker/in (staatl.gepr.),Computer scientist (state certified)
Informatiker/in (staatl.gepr.) - Computer/Kommunik.technik,Computer scientist (state-certified) - Computer/communications technology
Informatiker/in (Weiterbildung),Computer scientist (further training)
"Informatiker/in, Inform.Ass. - Wirtschaft","Computer scientist, Inform.Ass. - Business"
"Informatiker/in, Informatikassistent/in - Medizinkonomie","Computer scientist, computer assistant - medical economics"
Informatikfachwirt/in,IT specialist
Informatikkaufmann/-frau,IT clerk
Informatiktechniker/in - Betriebsinformatik,IT technician - business IT
Informatiktechniker/in - Netzwerktechnologie,IT technician - network technology
Informatiktechniker/in - technische Informatik,IT technician - technical computer science
Information-Architect,Information Architect
Informations- und Dokumentationsassistent/in,Information and documentation assistant
Informations- und kommunikationstechnische/r Assistent/in,Information and communication technology assistant
Informations- und Telekommunikationssystem-Elektroniker/in,Information and telecommunications system electronics technician
Informations-Broker/in,Information broker
Informationsdesigner/in - DTP und Multimedia,Information designer - DTP and multimedia
Informationselektroniker/in,Information electronics engineer
Informationselektroniker/in - Brosystemtechnik,Information electronics technician - office systems technology
Informationselektroniker/in - Gerte- und Systemtechnik,Information electronics technician - device and system technology
Informationselektroniker/in - Gerte/Anlag.(Meá-/Steuer-/R.),Information Electronics Technician - Devices/Systems (Meá-/Control-/R.)
Informationselektroniker/in - IC-Fertigung,Information electronics technician - IC production
Informationselektroniker/in - Service u. Reparatur,Information electronics technician - service and repair
Informationselektroniker/in (Ausbildung bis 1987),Information electronics technician (trained until 1987)
Informationselektroniker/in (mit Schwerpunkten),Information electronics engineer (with specializations)
Informationselektronikermeister/in,Master information electronics technician
Informationsfachwirt/in,Information specialist
Informationshostess,Information hostess
Informationsjurist/in,Information lawyer
Informationsmanager/in,Information manager
Informationsmanager/in (Bank),Information Manager (Bank)
Informationsorganisator/in,Information organizer
Informationssicherheitsbeauftragte/r,Information security officer
Informationssystemtechniker/in,Information systems technician
Informationstechnikermeister/in/B. Prof. Informationst.Hw.,Information technology master/B. Prof. Information Hw.
Informationstechnikingenieur/-ingenieurin - alle Fachricht.,Information technology engineer - all disciplines
Informationstechnikmeister/in,Information technology master
Informationstechnik-System-Elektroniker/in (Computersysteme),Information technology system electronics technician (computer systems)
Informationstechnische/r Assistent/in,Information technology assistant
Informationstechnologie-System-Elektroniker/in (Comp.syst.),Information Technology System Electronics Technician (Comp.syst.)
Informationsvermittler/in,Information broker
Informationswirt/in,Information economist
Informationswissenschaftler/in,Information scientist
Informator/in,informant
Infotainment-Entwickler/in,Infotainment developer
"Ing. Aus-, Weiterbildung (Elektrische Energietechnik)",Ing. training and further education (electrical energy technology)
Ingenieur/in - Abfallentsorgung,Engineer - waste disposal
Ingenieur/in - Abfallwirtschaft,Engineer - Waste Management
Ingenieur/in - Agrarmarketing und Agrarmanagement,Engineer - Agricultural Marketing and Agricultural Management
Ingenieur/in - Agrartechnik,Engineer - agricultural technology
Ingenieur/in - Angewandte Mechanik,Engineer - Applied Mechanics
Ingenieur/in - Anlagenbau/-technik,Engineer - plant construction/technology
Ingenieur/in - Anlagenbetriebs- und Schiffsbetriebstechnik,Engineer - plant operations and ship operations technology
Ingenieur/in - Antriebstechnik,Engineer - drive technology
Ingenieur/in - Arbeitssicherheit,Engineer - Occupational Safety
Ingenieur/in - Architektur,Engineer - Architecture
Ingenieur/in - Augenoptik/Optometrie,Engineer - Ophthalmology/Optometry
Ingenieur/in - Aus- u. Weiterbildung (Elektronik),Engineer - training and further education (electronics)
Ingenieur/in - Aus- u. Weiterbildung (Nachrichtentechnik),Engineer - training and further education (communications technology)
Ingenieur/in - Automatisierungstechnik,Engineer - automation technology
Ingenieur/in - Bahnbetrieb und Infrastruktur,Engineer - Railway Operations and Infrastructure
Ingenieur/in - Batterietechnik,Engineer - battery technology
Ingenieur/in - Bau,Engineer - Construction
